iter	Passed	Remaining
402	11263	100535
403	11293	100527
404	11319	100475
405	11347	100446
406	11373	100407
407	11398	100355
408	11425	100315
409	11451	100272
410	11482	100269
411	11510	100242
412	11537	100205
413	11564	100170
414	11591	100133
415	11616	100082
416	11642	100034
417	11671	100020
418	11698	99978
419	11724	99939
420	11751	99903
421	11779	99870
422	11804	99821
423	11830	99777
424	11861	99778
425	11888	99741
426	11917	99718
427	11942	99669
428	11969	99632
429	11995	99593
430	12022	99558
431	12052	99545
432	12078	99504
433	12105	99462
434	12131	99420
435	12158	99386
436	12183	99337
437	12209	99293
438	12239	99281
439	12265	99239
440	12293	99209
441	12321	99183
442	12328	98988
443	12353	98935
444	12379	98898
445	12405	98854
446	12435	98842
447	12462	98805
448	12492	98797
449	12521	98780
450	12550	98761
451	12577	98730
452	12603	98688
453	12634	98683
454	12660	98641
455	12686	98595
456	12712	98553
457	12738	98517
458	12765	98483
459	12791	98439
460	12822	98433
461	12848	98392
462	12874	98349
463	12901	98318
464	12927	98275
465	12954	98239
466	12978	98189
467	13009	98181
468	13034	98137
469	13060	98094
470	13086	98050
471	13111	98006
472	13138	97968
473	13164	97924
474	13194	97918
475	13220	97876
476	13246	97835
477	13272	97796
478	13302	97784
479	13333	97779
480	13362	97757
481	13406	97853
482	13438	97850
483	13464	97810
484	13492	97786
485	13520	97762
486	13551	97754
487	13579	97727
488	13612	97737
489	13639	97702
490	13672	97714
491	13698	97674
492	13726	97645
493	13753	97609
494	13780	97574
495	13812	97580
496	13848	97605
497	13874	97566
498	13901	97535
499	13931	97517
500	13957	97481
501	13984	97447
502	14015	97440
503	14045	97427
504	14073	97401
505	14099	97356
506	14125	97319
507	14150	97269
508	14178	97241
509	14207	97224
510	14233	97184
511	14259	97143
512	14286	97107
513	14317	97103
514	14347	97090
515	14395	97198
516	14440	97284
517	14470	97270
518	14497	97238
519	14524	97200
520	14549	97157
521	14575	97113
522	14604	97091
523	14635	97084
524	14661	97043
525	14689	97014
526	14716	96982
527	14744	96955
528	14771	96920
529	14796	96875
530	14826	96863
531	14852	96822
532	14879	96788
533	14906	96752
534	14933	96721
535	14959	96680
536	14991	96676
537	15023	96672
538	15049	96634
539	15076	96603
540	15103	96564
541	15130	96536
542	15157	96499
543	15183	96462
544	15213	96442
545	15242	96425
546	15269	96391
547	15294	96347
548	15322	96317
549	15349	96283
550	15376	96252
551	15407	96242
552	15435	96211
553	15461	96173
554	15489	96146
555	15515	96108
556	15541	96067
557	15568	96032
558	15598	96017
559	15623	95973
560	15649	95934
561	15675	95891
562	15702	95857
563	15727	95815
564	15755	95785
565	15788	95791
566	15816	95762
567	15844	95735
568	15871	95705
569	15899	95673
570	15926	95644
571	15954	95617
572	15988	95622
573	16018	95606
574	16051	95610
575	16083	95605
576	16112	95585
577	16140	95560
578	16169	95536
579	16201	95534
580	16229	95502
581	16255	95465
582	16285	95450
583	16313	95421
584	16341	95395
585	16369	95367
586	16399	95353
587	16426	95317
588	16453	95283
589	16478	95240
590	16506	95213
591	16532	95174
592	16565	95175
593	16601	95191
594	16632	95180
595	16663	95170
596	16690	95137
597	16721	95126
598	16748	95093
599	16775	95060
600	16806	95047
601	16835	95025
602	16861	94991
603	16889	94961
604	16917	94933
605	16942	94890
606	16983	94933
607	17016	94935
608	17044	94906
609	17070	94867
610	17102	94860
611	17130	94832
612	17156	94795
613	17182	94756
614	17212	94740
615	17240	94711
616	17266	94674
617	17293	94638
618	17321	94612
619	17353	94605
620	17381	94574
621	17412	94563
622	17440	94535
623	17466	94495
624	17493	94465
625	17522	94441
626	17553	94430
627	17585	94425
628	17618	94424
629	17649	94413
630	17680	94398
631	17710	94380
632	17738	94353
633	17769	94342
634	17796	94307
635	17827	94297
636	17856	94271
637	17882	94234
638	17920	94256
639	17949	94233
640	17977	94205
641	18002	94161
642	18034	94155
643	18064	94137
644	18093	94115
645	18122	94090
646	18148	94054
647	18175	94021
648	18201	93980
649	18233	93970
650	18259	93931
651	18285	93896
652	18313	93865
653	18340	93831
654	18366	93795
655	18394	93765
656	18426	93761
657	18453	93726
658	18478	93683
