iter	MAE
0	0.09458156982
1	0.09339968766
2	0.09233671162
3	0.09124886895
4	0.09018533109
5	0.0891396418
6	0.08812539791
7	0.08712669752
8	0.08612087209
9	0.08517426161
10	0.08423617646
11	0.08331396127
12	0.08242502719
13	0.08155170921
14	0.08066358749
15	0.07981982786
16	0.07902904277
17	0.07823334988
18	0.07749104254
19	0.07672134369
20	0.07602044717
21	0.07530301524
22	0.07461847908
23	0.0738995449
24	0.07324753192
25	0.07261281607
26	0.07200125737
27	0.07135731522
28	0.07072788318
29	0.07013528711
30	0.06960488386
31	0.06907844293
32	0.06850910732
33	0.067962841
34	0.06743947791
35	0.06696420272
36	0.06647579261
37	0.06600466093
38	0.06551886476
39	0.0650346015
40	0.06459244256
41	0.0641563492
42	0.06373267407
43	0.0633019778
44	0.06289772857
45	0.06250048015
46	0.06215623189
47	0.06178435514
48	0.06140384186
49	0.06104481614
50	0.06069509884
51	0.06033748005
52	0.05998327386
53	0.05965441425
54	0.05933582789
55	0.05902774912
56	0.05873026886
57	0.05843488071
58	0.0581428213
59	0.05786083175
60	0.05759568202
61	0.05735061902
62	0.05709310734
63	0.0568217956
64	0.05657708082
65	0.05635425872
66	0.05610560199
67	0.05587863294
68	0.05564092428
69	0.05541288279
70	0.0552131844
71	0.05500854987
72	0.05480285765
73	0.05460478586
74	0.05442508324
75	0.05422255966
76	0.0540343175
77	0.05383908066
78	0.05366234224
79	0.05348984985
80	0.0533156433
81	0.05314559715
82	0.05297948957
83	0.05282984754
84	0.05267390715
85	0.05253119969
86	0.05237744498
87	0.05222247261
88	0.05206727297
89	0.0519348908
90	0.05180226389
91	0.05166514243
92	0.05153537769
93	0.05141665226
94	0.05132661621
95	0.05121158549
96	0.05111542825
97	0.05099691773
98	0.05088275876
99	0.05080748425
100	0.05070192787
101	0.05060076298
102	0.05050552104
103	0.05040756166
104	0.05033107228
105	0.05023397945
106	0.05013652562
107	0.05004563809
108	0.04995817132
109	0.04988466616
110	0.04979960984
111	0.04972336646
112	0.04964191126
113	0.04956062616
114	0.04949292606
115	0.04942566488
116	0.04935892799
117	0.04929605355
118	0.04923502045
119	0.04916064548
120	0.04909522844
121	0.04903529043
122	0.04897285764
123	0.04891807773
124	0.04886849602
125	0.04881944753
126	0.04876275842
127	0.04870853036
128	0.04865471781
129	0.04859533002
130	0.0485410105
131	0.04848750063
132	0.04843244811
133	0.0483880213
134	0.04833922699
135	0.04829098814
136	0.04824250417
137	0.04819213301
138	0.04814971476
139	0.04811263328
140	0.04807084621
141	0.04802947277
142	0.04798912762
143	0.04795339081
144	0.04791603488
145	0.04788114207
146	0.04784261307
147	0.04780407571
148	0.04776822226
149	0.04773712579
150	0.04770024888
151	0.04766566087
152	0.04763219099
153	0.0475996142
154	0.0475696002
155	0.04754109865
156	0.04751344012
157	0.04748405839
158	0.04745241313
159	0.04743156228
160	0.04740565355
161	0.04738345695
162	0.04735728967
163	0.04733443914
164	0.04731019413
165	0.04728095247
166	0.04725743889
167	0.04723436287
168	0.04720602272
169	0.04718213809
170	0.04716062578
171	0.04713754365
172	0.04711041512
173	0.04709567228
174	0.04707083697
175	0.04704704405
176	0.04703039058
177	0.04700890938
178	0.0469869341
179	0.0469670745
180	0.04694770831
181	0.04692639321
182	0.04690490624
183	0.04689082142
184	0.0468708676
185	0.04685089759
186	0.04683100699
187	0.04681281696
188	0.04679462473
189	0.04677994922
190	0.04675979769
191	0.04674020945
192	0.04672287936
193	0.04670774742
194	0.04668695865
195	0.04667066709
196	0.04665381543
197	0.04663716111
198	0.04662189875
199	0.04660787735
200	0.04659445721
201	0.0465819969
202	0.04656630112
203	0.04655315342
204	0.04653768817
205	0.04652436554
206	0.0465123319
207	0.04650063453
208	0.04648623861
209	0.04647043183
210	0.04646140641
211	0.04644729044
212	0.04643190857
213	0.04641999369
214	0.04640754092
215	0.04639434462
216	0.04637997308
217	0.04636851827
218	0.04636197184
219	0.04635134866
220	0.0463389161
221	0.04632805035
222	0.04631594624
223	0.04630346508
224	0.04629391136
225	0.04628392732
226	0.04627284209
227	0.04626376258
228	0.0462522401
229	0.04624056615
230	0.04622843752
231	0.04621646383
232	0.04620525737
233	0.04619381839
234	0.04618269986
235	0.04617370837
236	0.04616469062
237	0.04615447957
238	0.04614578234
239	0.0461380503
240	0.04612822953
241	0.04611743178
242	0.04611419507
243	0.04610704267
244	0.0460973888
245	0.04608673427
246	0.04607665637
247	0.04607088743
248	0.04606062881
249	0.04605072985
250	0.04604297545
251	0.04603390486
252	0.04602548698
253	0.04601792549
254	0.04601125726
255	0.04600093997
256	0.04599471535
257	0.04598967821
258	0.04598088793
259	0.04597241925
260	0.04596360489
261	0.04595511783
262	0.04594893049
263	0.04594021449
264	0.04593195326
265	0.04592305328
266	0.0459146734
267	0.04590708283
268	0.04590086198
269	0.04589450158
270	0.04588439415
271	0.04588022494
272	0.04587065797
273	0.04586332517
274	0.04585823527
275	0.0458503238
276	0.04584126754
277	0.04583599443
278	0.04583045044
279	0.04582411867
280	0.04581818908
281	0.04581148485
282	0.04580691688
283	0.04579946451
284	0.0457942913
285	0.0457856098
286	0.04577805753
287	0.04576970525
288	0.04576804477
289	0.04576365714
290	0.04575663761
291	0.04575171536
292	0.04574450778
293	0.04573949669
294	0.0457342167
295	0.04573268748
296	0.04572856237
297	0.04572313465
298	0.04571612438
299	0.04570521909
300	0.04569977609
301	0.04569220153
302	0.04568632572
303	0.04567959427
304	0.0456739629
305	0.04566789993
306	0.04566326664
307	0.04565823364
308	0.0456548523
309	0.04564730399
310	0.04564411217
311	0.04563953197
312	0.04563343182
313	0.04562760532
314	0.04562245183
315	0.04561673097
316	0.04561262101
